English,Catalan,French,Spanish
Acetazolamide,Acetazolamida,Acétazolamide,Acetazolamida
Brivaracetam,Brivaracetam,Brivaracetam,Brivaracetam
Cannabidiol,Cannabidiol,Cannabidiol,Cannabidiol
Carbamazepine,Carbamazepina,Carbamazépine,Carbamazepina
Cenobamate,Cenobamat,Cénobamate,Cenobamato
Clobazam,Clobazam,Clobazam,Clobazam
Clonazepam,Clonazepam,Clonazépam,Clonazepam
Diazepam,Diazepam,Diazépam,Diazepam
Eslicarbazepine,Eslicarbazepina,Eslicarbazépine,Eslicarbazepina
Ethosuximide,Etosuximida,Éthosuximide,Etosuximida
Felbamate,Felbamat,Felbamate,Felbamato
Gabapentin,Gabapentina,Gabapentine,Gabapentina
Lacosamide,Lacosamida,Lacosamide,Lacosamida
Lamotrigine,Lamotrigina,Lamotrigine,Lamotrigina
Levetiracetam,Levetiracetam,Lévétiracétam,Levetiracetam
Lorazepam,Lorazepam,Lorazépam,Lorazepam
Oxcarbazepine,Oxcarbazepina,Oxcarbazépine,Oxcarbazepina
Perampanel,Perampanel,Pérampanel,Perampanel
Pheneturide,Feneturida,Phéneturide,Feneturida
Phenobarbital,Fenobarbital,Phénobarbital,Fenobarbital
Phenytoin,Fenitoïna,Phénytoïne,Fenitoína
Pregabalin,Pregabalina,Prégabaline,Pregabalina
Primidone,Primidona,Primidone,Primidona
Rufinamide,Rufinamida,Rufinamide,Rufinamida
Stiripentol,Stiripentol,Stiripentol,Stiripentol
Tiagabine,Tiagabina,Tiagabine,Tiagabina
Topiramate,Topiramat,Topiramate,Topiramato
Valproic Acid,Àcid valproic,Acide valproïque,Ácido valproico
Vigabatrin,Vigabatrina,Vigabatrine,Vigabatrina
Zonisamide,Zonisamida,Zonisamide,Zonisamida
